contigName	contigLen	totalAvgDepth	sorted_for_coverage.bam	sorted_for_coverage.bam-var
k141_5716	3020	58.6787	58.6787	2379.68
k141_6859	1636	2.0821	2.0821	2.38113
k141_7539	4101	152.512	152.512	5918.8
k141_4350	1257	114.418	114.418	21758.9
k141_4122	1863	1897.64	1897.64	7.20533e+06
k141_7997	3790	38.9374	38.9374	441.29
k141_9139	1935	304.125	304.125	3221.45
k141_4579	1202	2.31844	2.31844	2.66252
k141_9823	1107	46.0658	46.0658	2775.17
k141_1836	1755	15.5115	15.5115	82.0981
k141_690	1875	2.35246	2.35246	3.55202
k141_9595	1114	3.94398	3.94398	17.1806
k141_1375	2113	16.8319	16.8319	162.222
k141_8226	3734	291.428	291.429	48800.9
k141_2977	4277	35.3543	35.3543	494.137
k141_6861	1053	1.84053	1.84053	1.77499
k141_7540	1030	4.42045	4.42045	6.87647
k141_5718	1340	2.75798	2.75798	3.42667
k141_1606	5167	45.5727	45.5727	993.613
k141_462	1016	1.37067	1.37067	4.56646
k141_2978	1039	136.228	136.228	1591.11
k141_1838	1903	20.9652	20.9652	81.4186
k141_8682	1629	8.50101	8.50169	40.2013
k141_5494	1370	62.3975	62.3975	608.307
k141_919	7350	37.6561	37.6561	883.661
k141_9599	1038	5.72973	5.72973	13.4804
k141_9824	2586	9.43966	9.43966	308.627
k141_6401	7260	33.9011	33.9013	290.172
k141_5943	10556	46.1657	46.1657	703.277
k141_6402	1153	4.74078	4.74078	21.8668
k141_463	1866	3.90967	3.90967	8.31178
k141_1610	1644	9.11914	9.11914	27.1971
k141_4125	3050	56.4238	56.4238	5293.81
k141_9366	9262	51.0638	51.0638	2959.53
k141_5944	1577	35.0364	35.0364	1381.64
k141_13929	5855	82.4389	82.4389	15930.5
k141_8684	1767	3.92764	3.92764	19.7626
k141_464	1094	10.9057	10.9057	33.3495
k141_6404	1626	184.515	184.515	276545
k141_692	4246	33.8042	33.8042	591.037
k141_14152	10396	119.106	119.106	5414.45
k141_9604	2229	6652.97	6652.97	2.00663e+08
k141_8685	1786	9.92115	9.92115	259.418
k141_1613	1759	2.66377	2.66377	6.96096
k141_8910	9138	105.069	105.069	7420.01
k141_11642	12246	31.3809	31.3809	620.638
k141_11871	7959	1717.98	1717.98	1.3482e+07
k141_14153	1155	1.93632	1.93632	2.19514
k141_1847	1100	2.07895	2.07895	2.36784
k141_7769	12541	132.069	132.069	77456.3
k141_13012	15003	56.3986	56.3986	4462.88
k141_234	7064	62.0901	62.0901	671.082
k141_5496	5906	36.8113	36.8113	542.097
k141_11644	1172	3.19863	3.19863	5.29741
k141_1380	6830	32.7636	32.7638	178.197
k141_1616	1530	3.14855	3.14855	3.72337
k141_3434	16497	43.4018	43.4018	1263.82
k141_10278	8810	145.144	145.144	16328.2
k141_10047	13706	44.7098	44.7098	1026.52
k141_7771	1059	0.820682	0.820682	1.03059
k141_6863	1787	22.9957	22.9957	72.0311
k141_3	15418	232.248	232.248	143870
k141_5497	1649	2.20013	2.2008	2.3368
k141_923	6528	41.2413	41.2413	918.359
k141_7087	7888	130.549	130.549	57105.7
k141_3437	1243	105.217	105.217	805.414
k141_5723	7883	48.6555	48.6555	999.608
k141_6866	1011	44.9686	44.9686	854.28
k141_1381	2627	2.63262	2.63262	4.65655
k141_5945	7467	52.7381	52.7381	676.94
k141_4580	14092	1184.04	1184.04	1.81199e+07
k141_2751	15347	65.357	65.357	5023.76
k141_12560	13855	104.356	104.356	89299.3
k141_8912	5388	147.026	147.026	19049.7
k141_6869	1051	1.81021	1.81021	2.64507
k141_8	1157	4.41013	4.41013	11.4827
k141_5724	2183	3.30349	3.30349	4.90735
k141_11415	17894	46.1511	46.1511	2394.7
k141_1618	4743	31.9641	31.9641	315.519
k141_3894	18778	38.5591	38.5591	682.13
k141_12562	2357	1124.89	1124.89	5.54198e+06
k141_8454	17181	220.668	220.668	72627
k141_14378	21901	218.488	218.488	47396.9
k141_8228	6124	104.929	104.929	4737.57
k141_12	1257	2.30352	2.30352	4.61306
k141_5726	2722	4.14463	4.14463	22.0205
k141_4581	4575	41.3512	41.3512	630.597
k141_11186	22607	161.67	161.67	34809.4
k141_2062	22942	86.029	86.029	8482.46
k141_8456	1120	164.684	164.684	11039.1
k141_693	7743	56.4617	56.4617	2540.13
k141_14379	1534	7.56575	7.56575	30.1607
k141_5727	1037	2.9301	2.9301	6.13961
k141_11417	3454	33.4719	33.4719	134.594
k141_13014	8496	47.9588	47.9588	2971.56
k141_5499	7698	26.3038	26.3038	164.066
k141_8230	1559	1.74379	1.74379	2.07849
k141_8457	1711	198.173	198.173	23147.4
k141_468	3117	215.839	215.839	54069.1
k141_4582	3132	91.2505	91.2505	2791.45
k141_4126	14623	58.4413	58.4413	2041.89
k141_3901	1846	1173.73	1173.73	3.84797e+06
k141_235	10793	141.423	141.423	57405.9
k141_14154	13664	211.782	211.782	42676.3
k141_17	1281	12.748	12.748	106.846
k141_11420	1896	3.76976	3.76976	10.7641
k141_6870	7377	80.5055	80.5055	23006.2
k141_2063	4031	77.8866	77.8866	4985.25
k141_5730	2549	5.08545	5.08545	26.1423
k141_7093	8462	14170	14170	2.24904e+08
k141_8231	3043	117.251	117.251	10597.9
k141_13015	3495	276.316	276.316	137140
k141_6871	1484	7.45802	7.45802	28.9535
k141_8001	1535	5.67076	5.67076	21.4176
k141_19	1684	223.036	223.036	22149.3
k141_14155	2267	80.1507	80.1507	5223.84
k141_3902	2534	2.76678	2.76678	4.73032
k141_13930	3461	46.3691	46.3691	829.009
k141_7774	1053	10.0078	10.0078	97.7065
k141_8463	1901	59.8715	59.8715	553.588
k141_7094	2551	9.53269	9.53269	71.2775
k141_8003	1110	3.12188	3.12188	4.25312
k141_21	1182	66.0368	66.0368	826.24
k141_3904	1051	1.80466	1.80466	2.86626
k141_4588	1985	1.92916	1.92916	2.97317
k141_13238	29927	44.2365	44.2365	1757.76
k141_7778	1193	14.2128	14.2128	127.529
k141_22	1541	32.0705	32.0705	97.4829
k141_4808	27863	69.1429	69.1429	9980.02
k141_3438	15179	43.0841	43.0841	1490.41
k141_7780	1039	5.10686	5.10686	7.98971
k141_11423	5639	164.465	164.465	25055.4
k141_23	1495	6.42751	6.42751	19.7969
k141_13701	5625	194.424	194.424	23482.1
k141_2293	28303	195.999	195.999	29560.1
k141_7318	25638	43.9477	43.9477	1323.93
k141_1848	19653	224.182	224.182	35560.5
k141_25	1381	4.27782	4.27782	14.9927
k141_3662	37663	90.4657	90.4657	10213.3
k141_1145	35876	57.8156	57.8156	5108.25
k141_13705	1271	1.98483	1.98483	3.25423
k141_13931	7793	49.8917	49.8917	2121.07
k141_8686	22487	125.732	125.732	33066.5
k141_11188	1729	1.8898	1.8898	4.54425
k141_10048	21051	57.1487	57.1487	2772.96
k141_8232	1196	40.1893	40.1893	631.824
k141_4589	7522	86.6131	86.6131	3918.02
k141_472	1591	18.1159	18.1159	54.9261
k141_7319	4643	76.0857	76.0857	5284.15
k141_4127	12352	88.7569	88.7569	8974
k141_5260	36561	220.723	220.723	299560
k141_10279	22737	47.6229	47.6229	1109.35
k141_7095	9915	208.809	208.809	146610
k141_31	2785	117.4	117.4	5989.36
k141_13937	1216	3.10788	3.10788	3.45032
k141_2065	12357	92.954	92.954	9538.62
k141_7097	1115	12.0373	12.0373	69.0838
k141_11645	19380	51.3811	51.3811	1019.81
k141_13016	14426	48.1525	48.1525	3598
k141_13939	2179	25.0099	25.0099	512.287
k141_7325	1455	36.5525	36.5525	358.35
k141_11647	1186	89.0927	89.0927	33615.2
k141_13940	1292	4.61559	4.61559	17.5445
k141_475	1110	101.108	101.108	5647.4
k141_10502	46660	96.025	96.025	12985.7
k141_37	1240	4.29083	4.29083	10.2523
k141_2067	3278	49.9559	49.9559	1094.55
k141_1849	9612	144.324	144.324	19810.3
k141_13018	1217	1.34302	1.34302	2.80157
k141_8687	7838	46.2059	46.2059	433.526
k141_476	1086	23.2169	23.2169	127.047
k141_10503	1689	1.75828	1.75828	1.62033
k141_13943	1389	87.0274	87.0274	1433.38
k141_41	1109	230.419	230.419	16809.7
k141_5035	23128	49.4085	49.4085	802.987
k141_2070	1510	6.29632	6.29632	17.4714
k141_10504	1827	1.10316	1.10376	1.48325
k141_10049	10817	46.9497	46.9497	2412.47
k141_1148	1327	1.25658	1.25658	2.21646
k141_925	27601	75.373	75.373	6484.45
k141_478	2085	125.043	125.043	8712.56
k141_5262	8909	53.3167	53.3167	2490.03
k141_10506	1425	1.64392	1.64392	1.80247
k141_7099	7932	30.3268	30.3268	151.557
k141_4128	10066	51.0039	51.0039	2795.52
k141_8692	1748	4.43179	4.43179	16.0852
k141_7326	6208	40.5319	40.5319	1507.47
k141_2071	2807	9432.78	9432.78	6.40484e+07
k141_9140	42094	147.366	147.366	16042.5
k141_13949	1804	2.84885	2.84885	5.65284
k141_44	2348	141.55	141.55	16086.3
k141_8693	1642	139.712	139.712	21729.8
k141_8466	20133	34.1683	34.1683	604.32
k141_13243	17647	50.3709	50.3709	1137.11
k141_4130	1872	16.6661	16.6661	606.427
k141_5039	2838	58.1507	58.1507	3126.26
k141_9142	1339	1803.04	1803.04	1.03777e+07
k141_2521	48835	116.578	116.578	22564.1
k141_2073	1478	4.82982	4.82982	12.2213
k141_7327	2602	2.79894	2.79894	10.9931
k141_7783	20008	53.0721	53.0721	1376.61
k141_4352	44363	101.518	101.518	10397.1
k141_48	1272	5.26649	5.26649	6.10112
k141_8468	1891	40.436	40.436	583.383
k141_5040	2217	7.39623	7.39623	38.5065
k141_3665	18173	56.4903	56.4903	2416.06
k141_2074	1879	3.2273	3.2273	4.09941
k141_4133	1441	465.146	465.146	34423
k141_5265	5340	190.584	190.585	47730
k141_1619	32225	156.902	156.902	36011.3
k141_7784	1620	108.934	108.934	15538.3
k141_49	1004	5.08548	5.08548	4.00558
k141_4355	1000	1.52353	1.52353	1.56895
k141_5041	1024	4.59611	4.59725	5.71157
k141_13950	4589	69.7394	69.7394	5639.01
k141_13708	3955	112.543	112.543	3494.99
k141_926	7054	58.6438	58.6438	1251.15
k141_14157	28230	49.9843	49.9843	6110.92
k141_7328	4061	27.4827	27.4827	186.909
k141_7785	2364	90.9968	90.9968	3608.83
k141_4134	3060	549.073	549.073	278869
k141_7329	1185	30.4734	30.4734	158.606
k141_13246	5219	36.637	36.637	403.67
k141_2078	1337	2.81297	2.81297	7.06451
k141_9369	44147	102.111	102.111	33853.8
k141_7100	9252	263.848	263.848	47176.7
k141_7330	1043	4.00224	4.00224	11.0179
k141_8469	4725	43.8	43.8002	406.077
k141_13711	2683	18724.3	18724.3	2.41921e+08
k141_53	3374	3.72301	3.72301	12.0241
k141_2080	1238	4.17096	4.17096	12.4123
k141_4136	1467	3.73197	3.73197	3.81944
k141_7331	1227	7.15877	7.15877	40.0519
k141_7790	1374	3.49428	3.49428	3.08257
k141_13247	2573	7.88196	7.88196	17.7384
k141_8233	13980	41.0153	41.0153	1462.75
k141_4590	8287	35.0782	35.0782	294.821
k141_7791	1189	464.064	464.064	34281.1
k141_238	11392	31.2023	31.2023	487.311
k141_4140	1037	4.03495	4.03495	3.08117
k141_7333	1273	2.4203	2.42119	3.30994
k141_7793	1297	21.1595	21.1604	309.331
k141_6405	53357	63.6556	63.6556	4959.64
k141_14158	7831	141.661	141.661	12679.2
k141_240	1876	121.003	121.003	8529.31
k141_8913	42230	190.076	190.076	46602.7
k141_2085	3059	97.1788	97.1788	6753.67
k141_7795	1618	1.97548	1.97548	5.08733
k141_57	3990	14.3771	14.3771	410.4
k141_7339	1779	2.96746	2.96746	10.2955
k141_1382	48789	60.6372	60.6372	3161.67
k141_2086	1371	4.58477	4.58477	8.90861
k141_58	1170	9.85784	9.85784	73.0034
k141_1149	19565	45.8431	45.8431	6269.31
k141_9605	55626	71.5664	71.5664	16089.2
k141_2522	14172	59.2514	59.2514	12559.6
k141_6873	18545	52.7676	52.7676	3531.89
k141_9370	8471	50.2017	50.2017	1671.33
k141_13019	21631	125.755	125.755	14415.2
k141_1383	2036	34236.2	34236.2	4.38658e+09
k141_60	1341	142.648	142.648	7713.79
k141_2752	47145	197.445	197.445	84563.7
k141_4592	7303	96.4236	96.4236	4900.28
k141_7104	7136	58.5375	58.5375	1638.97
k141_13020	1178	5.34047	5.34047	121.255
k141_6406	6030	12293.3	12293.3	1.03431e+09
k141_7799	3409	54.7696	54.7696	2165.21
k141_7107	1203	1.53846	1.53846	1.66891
k141_2525	2142	56.7174	56.7174	919.333
k141_7340	5063	94.5371	94.5371	5589.34
k141_62	2628	6.3523	6.3523	16.5554
k141_7800	1277	6.80923	6.80923	39.9894
k141_12564	46454	183.53	183.53	54077.1
k141_1151	4937	69.182	69.182	5846.35
k141_2753	4191	156.499	156.499	18359.7
k141_7341	1735	2.87823	2.87823	5.73706
k141_1385	4592	40.5882	40.5882	1287.04
k141_6875	3522	239.282	239.282	6606.07
k141_5269	17283	47.3332	47.3332	2832.06
k141_8005	18523	45.3519	45.3519	1407.3
k141_8006	1035	3.21017	3.21017	2.24763
k141_6877	1661	32.8782	32.8782	240.77
k141_67	1734	2.62247	2.62247	4.9048
k141_7802	3266	36.0639	36.0639	338.962
k141_13249	13390	39.0449	39.0449	941.058
k141_7346	1361	3.2981	3.2981	4.72346
k141_8007	1876	61.6362	61.6362	367.817
k141_7804	1329	2.53181	2.53181	2.18298
k141_8915	11730	48.4174	48.4174	1407.71
k141_9607	9850	63.5665	63.5665	10974.2
k141_7109	4407	36.3199	36.3199	231.379
k141_7348	1099	3.19389	3.19389	5.01721
k141_8916	1288	2.23374	2.23374	2.55747
k141_8234	17538	43.3359	43.3359	4125
k141_7110	1588	61.404	61.404	5830.13
k141_2526	8267	38.9441	38.9441	500.797
k141_10508	30252	59.0852	59.0852	5238.74
k141_2087	12491	37.8743	37.8744	480.658
k141_1154	1504	188.408	188.408	23541.2
k141_4357	23511	89.0161	89.0161	34175.9
k141_11650	21532	191.877	191.877	46679.1
k141_7349	3006	32.1348	32.1348	112.957
k141_13952	1041	2.75982	2.75982	4.15798
k141_1156	1103	3.07765	3.07765	4.56122
k141_1620	25390	70.8748	70.8748	2829.47
k141_3909	49760	91.4979	91.4979	4021.57
k141_11651	1391	0.965351	0.965351	3.1367
k141_11872	68744	168.274	168.274	33832.8
k141_7351	1047	5.33891	5.33891	17.7088
k141_7111	1399	2.64932	2.64932	3.05
k141_8235	5172	89.7383	89.7383	9960.73
k141_13954	2039	34.9375	34.9375	160.596
k141_2528	2226	2.44701	2.44701	3.84148
k141_1389	10932	47.325	47.325	1439.59
k141_8013	5515	105.317	105.317	8829.94
k141_6878	9827	165.952	165.952	16209.1
k141_927	27702	43.9508	43.9508	2883.21
k141_73	8216	56.44	56.44	841.136
k141_928	1330	43.3263	43.3263	492.639
k141_695	48509	182.509	182.509	22922.5
k141_479	34664	235.297	235.297	89244.7
k141_9373	17252	241.648	241.648	69168.9
k141_11873	4485	39.1151	39.1151	299.164
k141_12101	80046	49.0154	49.0154	2078.49
k141_2980	79204	64.2313	64.2313	11237.1
k141_1393	1197	40.2693	40.2693	714.137
k141_8917	9781	41.9493	41.9493	412.573
k141_11874	1073	3.02384	3.02384	7.6567
k141_77	1554	4.4765	4.4765	37.2885
k141_10958	90600	99.368	99.368	18912.5
k141_12102	2010	6.16129	6.16129	22.4969
k141_78	1053	7.60133	7.60133	74.4507
k141_12565	16814	41.7574	41.7574	2213.3
k141_3210	84056	59.1614	59.1614	4001.22
k141_242	12873	14.3916	14.3916	146.063
k141_480	2033	19.3436	19.3436	308.418
k141_9609	12899	181.014	181.014	19482
k141_5043	11305	73.6581	73.6581	3928.49
k141_12566	1175	11.2185	11.2185	70.2003
k141_8015	5925	97.5482	97.5482	4515.47
k141_8922	1382	1.91883	1.91883	1.47188
k141_1635	2233	548.762	548.762	198170
k141_12105	1708	69.2041	69.2041	1219.47
k141_13252	14213	48.0157	48.0157	3496.5
k141_10959	3144	42.2164	42.2164	852.787
k141_12107	1023	2.78351	2.78351	2.72257
k141_10960	1009	5.66473	5.66473	10.1578
k141_9377	4984	31.5565	31.5565	241.822
k141_85	1536	8.05483	8.05483	92.4353
k141_10961	1161	2.14441	2.14441	4.08406
k141_2534	1433	3.52533	3.52533	10.8626
k141_246	3388	3980.56	3980.56	1.76291e+07
k141_12782	96822	53.2472	53.2472	1870.71
k141_2089	15291	48.2504	48.2504	1568.09
k141_6881	11602	33.6361	33.6361	889.771
k141_2090	1199	13.2698	13.2698	1173.83
k141_1158	16013	29.8413	29.8413	315.897
k141_7115	1076	230.05	230.05	9471.19
k141_5044	7020	62.7683	62.7683	4379.05
k141_13955	15047	46.8998	46.8998	1624.74
k141_8020	5761	52.9382	52.9382	1336.87
k141_9378	1537	288.272	288.272	96292.8
k141_1395	8274	31.5593	31.5593	186.05
k141_9610	9481	89.5737	89.5737	12511.2
k141_7117	1533	74.055	74.055	2479.33
k141_2091	3125	279.529	279.529	32718.8
k141_7352	17210	107.755	107.755	15362.3
k141_2092	1121	2.82492	2.82492	3.31365
k141_10963	7275	99.31	99.31	5400.49
k141_7354	1035	3.37175	3.37175	4.951
k141_9380	2609	3.84303	3.84303	7.82311
k141_4141	38531	85.2789	85.2789	14375.2
k141_699	14978	73.9349	73.9349	1351.56
k141_249	8075	26.6751	26.6751	406.37
k141_8236	21089	48.8411	48.8412	1745.28
k141_1403	1822	3.83732	3.83732	6.25121
k141_8694	48225	286.416	286.416	455667
k141_702	1717	6.82451	6.82451	34.2011
k141_8239	1344	4.14908	4.14908	6.93838
k141_8925	14924	25.8465	25.8465	512.665
k141_2298	39299	116.363	116.363	20032.2
k141_489	8754	159.262	159.262	25608.5
k141_8697	1035	5.43503	5.43503	9.93838
k141_1405	1715	3.823	3.823	5.42704
k141_7118	7226	30.443	30.443	132.917
k141_4142	4511	80.7358	80.7358	2483.05
k141_13257	1824	37.0848	37.0848	165.449
k141_12567	16474	58.6182	58.6182	7314.54
k141_13956	10406	44.1029	44.103	3754.17
k141_1406	2559	1.97136	1.97136	1.65989
k141_11191	60397	72.0259	72.0259	6965.83
k141_7120	1466	138.515	138.515	2833.6
k141_11877	1643	10.2793	10.2793	89.6998
k141_1159	12797	45.0728	45.0728	967.016
k141_13027	13432	59.8268	59.8268	11636.7
k141_4358	28857	75.6065	75.6065	8484.85
k141_9144	24984	78.0365	78.0366	10275.5
k141_5271	37373	89.8616	89.8616	7365
k141_4144	1617	1.77505	1.77505	2.47732
k141_13029	1291	7.24452	7.24452	61.6547
k141_4359	1244	10.9314	10.9314	17.2112
k141_1407	2625	8.57253	8.57253	855.544
k141_13962	1138	5.0749	5.0749	17.2811
k141_12783	16390	63.9781	63.9781	9758.28
k141_5272	1556	7511.1	7511.1	6.56291e+07
k141_8240	5966	375.345	375.345	292030
k141_13030	1190	93.3942	93.3942	906.402
k141_9612	13059	54.8646	54.8646	3794.78
k141_9146	1475	2.49736	2.49736	4.50698
k141_10967	10106	79.4626	79.4626	8053.15
k141_8242	1057	71.2966	71.2966	388.021
k141_7808	24750	79.448	79.448	12330.3
k141_1162	3362	45.5725	45.5725	555.606
k141_3439	82783	38.044	38.044	1394.85
k141_10510	35973	65.592	65.592	4125.64
k141_13031	2097	6.94813	6.94813	19.1097
k141_9148	1603	31.0557	31.0557	51.0817
k141_929	28316	94.0524	94.0524	11927.6
k141_9615	1942	2.44922	2.44922	5.24594
k141_7122	5373	235.441	235.441	55501.6
k141_4145	4417	149.638	149.638	69903.7
k141_6627	114918	51.6786	51.6786	3578.87
k141_10512	1037	112.552	112.552	439.45
k141_9150	1471	9.82967	9.82967	85.749
k141_2093	14900	43.4995	43.4995	315.059
k141_4146	1812	62.0168	62.0168	2508.94
k141_4360	6002	25.3006	25.3006	359.899
k141_9151	1214	1.40508	1.40508	3.33431
k141_11192	8682	60.0575	60.0575	460.075
k141_10970	5258	51.9509	51.9509	1177.56
k141_12108	21165	142.186	142.186	25802.5
k141_9153	1914	434.823	434.823	115926
k141_8021	20670	92.0873	92.0873	14507.1
k141_9616	6406	558.431	558.431	308684
k141_11195	1953	91.4176	91.4176	2715.06
k141_12109	1007	34.5228	34.5228	75.799
k141_5737	92871	55.0684	55.0684	2833.13
k141_8022	1282	2.64841	2.64841	10.0973
k141_1409	10359	33.5378	33.5378	219.721
k141_7126	4840	55.2527	55.2527	1956.43
k141_8023	1541	3.55284	3.55284	5.98407
k141_4361	5824	64.49	64.4901	2426.48
k141_4148	6064	98.1725	98.1725	6949.46
k141_4595	56214	57.9347	57.9347	3845.54
k141_1411	2012	276.488	276.488	185134
k141_9154	3926	35.4762	35.4762	193.368
k141_5273	12683	82.5016	82.5016	18041
k141_10971	4815	72.1567	72.1567	10281.1
k141_8698	16699	62.157	62.157	66822.9
k141_11200	1125	5.69333	5.69333	10.6831
k141_8024	1918	4.24548	4.24548	13.3997
k141_12116	1149	13.7157	13.7157	217.513
k141_4150	1504	3.05982	3.05982	4.83823
k141_5274	1395	2.22088	2.22088	1.76871
k141_12788	1247	8.36463	8.36463	16.5841
k141_8699	1426	6.56113	6.56113	35.5922
k141_5275	1538	13.7601	13.7601	323.655
k141_251	21800	37.0691	37.0691	856.39
k141_3212	36374	208.596	208.596	41672.7
k141_12118	1344	43.2722	43.2722	194.275
k141_12791	1337	3.97304	3.97304	9.689
k141_5276	1432	9.25117	9.25117	60.6861
k141_10733	120046	78.4843	78.4843	9664.56
k141_6407	62165	87.5712	87.5712	15671.3
k141_4362	6375	130.551	130.551	7080.93
k141_13260	1146	45.6817	45.6817	791.21
k141_11203	4154	54.5295	54.5295	1703.59
k141_13963	19572	97.1584	97.1584	8082.7
k141_14381	102833	104.621	104.621	22870.7
k141_13261	1454	2.43405	2.43405	3.13761
k141_2985	44137	52.287	52.287	4062.51
k141_12796	1166	4.02461	4.02461	7.56692
k141_10513	17054	37.9773	37.9773	396.246
k141_703	16860	44.236	44.236	2493.61
k141_12568	24308	113.302	113.302	23861.7
k141_13263	1009	3.05704	3.05704	2.569
k141_14382	1574	25.1257	25.1257	423.726
k141_3214	4696	38.7134	38.7136	1145.11
k141_10514	1059	2.54675	2.54675	2.72825
k141_2300	12325	154.615	154.615	26915.2
k141_7809	21092	35.2517	35.2517	979.495
k141_3216	1082	6.94206	6.94206	21.4101
k141_935	16079	83.2053	83.2053	7411.93
k141_14383	2710	110.023	110.023	1450.47
k141_252	7684	52.3054	52.3054	3274.08
k141_11878	26933	31.1407	31.1407	481.472
k141_2301	1843	2.33373	2.33432	3.47094
k141_2097	16660	191.894	191.894	20728.5
k141_10516	2608	73.0216	73.0216	3161.52
k141_8244	23240	210.937	210.937	48465.7
k141_3217	2548	152.006	152.006	14140.2
k141_253	1771	101.271	101.271	1558.48
k141_10517	1179	2.5277	2.5277	2.51795
k141_11652	28197	102.318	102.318	7559.99
k141_5949	121555	82.2278	82.2278	14609.2
k141_254	1507	18.1503	18.1503	530.326
k141_256	1151	1895.57	1895.57	2.27932e+07
k141_5951	1363	93.202	93.202	5100.71
k141_11204	10422	30.1449	30.1449	441.428
k141_11205	1007	3.71412	3.71412	8.65297
k141_4363	11606	51.402	51.402	5376.8
k141_8025	16843	109.619	109.619	5871.51
k141_2098	6756	191.501	191.501	29414.3
k141_8026	1185	2.23575	2.23575	2.23257
k141_8245	7562	41.1686	41.1686	652.563
k141_492	26181	38.1079	38.1079	651.01
k141_4596	21518	134.003	134.003	10986.6
k141_7127	22500	102.344	102.344	478046
k141_8030	1048	4.42316	4.42316	6.30902
k141_9381	35560	47.4735	47.4735	3876.06
k141_4812	108912	5.06086	5.06086	42.4018
k141_8246	2575	34.7781	34.7781	280.228
k141_6409	8410	48.9866	48.9866	3482.64
k141_2986	14540	93.7059	93.7059	3658.54
k141_7128	2664	4.0362	4.03659	5.30063
k141_10518	11344	3.92639	3.92639	10.2596
k141_6410	2287	2.98128	2.98128	8.62891
k141_257	8716	152.643	152.643	14345.6
k141_11879	14868	67.367	67.367	11606.8
k141_2991	1184	2.74855	2.74855	4.95898
k141_2099	7773	141.685	141.685	15597.6
k141_7133	1646	1.97193	1.97193	2.8795
k141_258	1765	139.713	139.713	8833.33
k141_6413	1538	43.4013	43.4013	917.795
k141_9382	5938	72.4172	72.4174	3672.24
k141_6414	1001	2.44301	2.44301	5.27056
k141_13712	89911	5.10222	5.10222	25.5711
k141_6415	1178	27.6187	27.6187	22.7561
k141_2995	1436	119.561	119.561	6345.1
k141_2537	56700	78.8501	78.8501	5554.92
k141_11881	3515	217.944	217.944	100795
k141_8700	25592	84.8199	84.8199	6506.47
k141_6417	1162	3.65613	3.65613	16.6927
k141_7134	3600	36.6559	36.6559	191.661
k141_262	2229	99.645	99.645	3181.65
k141_8703	1134	3.10264	3.10264	6.4991
k141_11206	14376	194.281	194.281	68778.3
k141_11653	17768	4.04126	4.04126	12.7267
k141_2303	13174	243.661	243.661	91729.7
k141_11884	2126	3.5496	3.5496	5.79498
k141_5277	29121	39.5724	39.5724	991.873
